timestamp_s,pitch_degrees,control_latency_microseconds
9.28,-0.0547,5.96
9.29,1.11698,4.77
9.3,0.86959,9.06
9.31,0.89212,6.20
9.32,3.027,5.01
9.33,1.71525,3.81
9.34,2.33462,5.72
9.35,0.59358,5.72
9.36,1.36308,6.20
9.37,0.27276,6.20
9.38,1.60461,5.01
9.39,0.67963,5.96
9.4,0.43688,5.25
9.41,1.47853,5.01
9.42,1.56555,5.72
9.43,1.38234,10.01
9.44,1.47291,9.06
9.45,2.3662,6.20
9.46,1.881,4.05
9.47,2.09496,8.11
9.48,1.72738,4.29
9.49,1.32148,5.96
9.5,1.64475,5.01
9.51,1.28632,4.77
9.52,2.37252,5.01
9.53,-0.64471,5.01
9.54,-1.14336,4.05
9.55,-2.67718,3.81
9.56,0.5857,4.05
9.57,3.16089,6.20
9.58,4.25228,10.01
9.59,5.50855,8.82
9.6,4.13769,5.01
9.61,2.68392,5.25
9.62,2.79677,5.01
9.63,2.34813,5.01
9.64,1.53901,5.72
9.65,3.27247,3.81
9.66,3.4177,5.01
9.67,3.33249,3.81
9.68,0.92633,4.05
9.69,0.7496,4.05
9.7,0.68175,8.82
9.71,2.81467,3.81
9.72,3.81769,5.96
9.73,2.29542,8.82
9.74,3.75067,4.77
9.75,2.76886,7.15
9.76,1.22074,6.91
9.77,1.12973,6.91
9.78,2.94826,4.77
9.79,1.86884,4.77
9.8,1.82613,5.25
9.81,1.21339,4.05
9.82,3.28503,5.01
9.83,4.51865,4.05
9.84,2.17093,6.20
9.85,1.10337,5.01
9.86,-0.19138,5.25
9.87,1.7603,5.01
9.88,0.9109,4.77
9.89,0.57299,6.20
9.9,3.05864,5.01
9.91,3.65702,5.01
9.92,2.5945,5.01
9.93,2.02004,7.87
9.94,2.44823,4.77
9.95,1.33717,5.25
9.96,1.26892,5.01
9.97,1.82294,4.77
9.98,0.88644,4.05
9.99,2.39835,5.25
10.0,3.27713,10.01
10.01,0.6338,4.77
