timestamp_seconds,trial_1_pitch_deg,trial_2_pitch_deg,trial_3_pitch_deg
7.12,-0.10648,-0.48199,0.09673
7.13,0.22072,0.23412,-0.32121
7.14,0.32103,0.182,-0.20555
7.15,0.35971,0.51882,0.32953
7.16,0.02445,-0.21111,-0.12871
7.17,0.64705,0.08794,0.06249
7.18,-0.15278,-0.05723,0.14998
7.19,-0.28102,-0.34429,0.36682
7.2,-0.20043,-0.41761,-0.09444
7.21,0.09939,0.35538,0.44214
7.22,0.4601,0.0238,-0.07762
7.23,0.50034,0.3268,-0.12939
7.24,0.19001,0.55529,-0.06911
7.25,0.13643,0.02643,0.16255
7.26,-0.54201,-0.31392,-0.19806
7.27,0.03083,0.14926,-0.21987
7.28,0.21288,0.44627,-0.05394
7.29,-0.20847,0.72055,-0.13147
7.3,0.22269,0.13315,0.16863
7.31,0.1323,0.62832,0.07404
7.32,0.00089,0.74062,0.38412
7.33,0.06253,-0.02752,0.52202
7.34,0.12555,-0.02381,-0.2597
7.35,0.06537,-0.63039,-0.47807
7.36,-0.4053,-0.14399,-0.24392
7.37,-0.08069,0.05441,-0.36133
7.38,-0.44003,0.13025,0.02083
7.39,-0.66506,0.21984,0.35546
7.4,-0.34016,-0.58713,-0.29687
7.41,-0.60186,-0.49226,0.42957
7.42,0.02691,-0.08855,-0.27653
7.43,0.6836,-0.55978,0.29387
7.44,0.37426,-0.25411,-0.23364
7.45,0.356,0.4596,0.30689
7.46,-0.30836,0.18173,-0.00617
7.47,-0.3973,0.13937,0.05743
7.48,-0.20801,-0.26357,0.1137
7.49,0.29521,0.5294,-0.15207
7.5,0.33355,0.09368,-0.01694
7.51,0.02199,0.15586,0.16907
7.52,0.18051,0.104,-0.23495
7.53,0.36092,-0.44092,-0.12632
7.54,-0.34927,-0.25561,-0.49702
7.55,-0.00148,-0.22757,0.26174
7.56,0.3464,0.04231,-0.25671
7.57,0.38158,0.63614,-0.35064
7.58,-0.2003,-0.15565,-0.25457
7.59,-0.70569,0.26532,0.56388
7.6,0.16739,0.31434,0.16361
7.61,0.08438,0.15791,0.63455
7.62,-0.39707,0.17265,0.43364
7.63,-0.39791,-0.03981,-0.22741
7.64,-0.25996,-0.67881,0.55666
7.65,-0.19031,-0.74022,0.08184
7.66,0.4137,-0.00641,0.30459
7.67,0.36737,-0.74787,0.29654
7.68,0.3619,-0.3793,-0.2112
7.69,0.40528,-0.55262,0.17482
7.7,-0.34629,0.20788,-0.31198
7.71,-0.1734,0.36218,0.36967
7.72,0.45009,-0.23571,-0.12478
7.73,0.60429,0.1083,-0.14522
7.74,0.23572,0.2413,-0.57271
7.75,-0.06668,-0.30292,0.22062
7.76,-0.61241,-0.4709,-0.4806
7.77,-0.52039,-0.0352,-0.24684
7.78,-0.40544,0.24761,-0.05157
7.79,-0.02222,-0.20318,-0.56331
7.8,-0.06453,-0.44316,0.03999
7.81,0.356,0.17666,0.47057
7.82,-0.0628,0.09364,-0.21755
7.83,-0.07294,-0.33784,-0.05471
7.84,0.22895,0.61995,-0.3493
7.85,0.16286,0.6633,-0.2287
7.86,0.05263,0.00083,0.18769
7.87,0.50594,0.065,0.24258
7.88,-0.07408,0.42399,-0.3525
7.89,-0.39279,0.61333,-0.09433
7.9,-0.30046,0.28868,0.45366
7.91,-0.33532,0.20925,-0.24466
7.92,-0.70265,0.05312,-0.37476
7.93,-0.47754,-0.85929,0.12201
7.94,0.02673,-0.26958,0.10171
7.95,-0.38848,-0.29113,-0.31061
7.96,-0.18745,-0.67939,0.17697
7.97,0.24989,-0.26051,-0.29821
7.98,0.2761,-0.75481,-0.31861
7.99,0.54189,-0.48478,0.37687
8.0,0.19754,-0.04965,0.19472
8.01,0.39253,0.2956,0.03319
8.02,0.27968,0.23717,0.45919
8.03,0.22797,0.4822,0.1553
8.04,-0.36905,1.01907,0.48535
8.05,-0.42027,0.43873,0.31162
8.06,0.05196,0.39616,0.21663
8.07,-0.2604,0.51378,-0.1722
8.08,0.03963,-0.15257,-0.65864
8.09,0.01877,-0.607,-0.64582
8.1,0.5734,-0.62593,-0.33266
8.11,0.34404,-0.25861,0.0709
8.12,0.69198,-0.49851,-0.24046
8.13,0.67097,0.0934,0.16698
8.14,0.62427,-0.39857,-0.39126
8.15,0.28809,0.13504,-0.21799
8.16,-0.4578,0.30614,-0.0488
8.17,-0.40881,0.05329,0.17026
8.18,0.0643,-0.66534,0.34533
8.19,0.58747,-0.59205,-0.3309
8.2,0.42734,-0.12712,-0.36501
8.21,0.68234,0.24058,-0.17239
8.22,0.47393,0.44418,-0.20835
8.23,0.12638,0.1675,-0.24704
8.24,-0.78338,0.03903,0.46552
8.25,-0.52588,0.21316,0.71743
8.26,0.12128,0.23226,0.08245
8.27,-0.26588,0.87572,0.34905
8.28,-0.58366,0.18834,0.22312
8.29,0.15049,0.1962,0.03543
8.3,0.35754,-0.03014,0.263
8.31,-0.11444,0.45045,0.19836
8.32,0.05938,0.21302,-0.1024
8.33,0.20303,-0.03685,-0.00265
8.34,0.20768,-0.55809,0.23748
8.35,0.49627,-0.20242,-0.53457
8.36,0.22668,-0.31167,-0.19424
8.37,-0.17498,0.08621,-0.55725
8.38,-0.66207,-0.14266,-0.12869
8.39,-0.05574,0.3948,0.18657
8.4,-0.37604,0.34739,0.28552
8.41,-0.30594,0.48327,-0.07534
8.42,0.33691,0.28432,0.18564
8.43,0.28889,0.27533,0.27038
8.44,0.28609,-0.22567,0.49655
8.45,-0.05463,0.41695,0.22628
