timestamp_s,pitch_degrees_t1,control_latency_microseconds_t1,pitch_degrees_t2,control_latency_microseconds_t2,pitch_degrees_t3,control_latency_microseconds_t3
2.98,-0.1397,1.91,-0.14589,0.95,0.31901,1.91
2.99,0.66007,2.15,-0.35947,1.91,0.27053,2.15
3.0,0.14888,1.19,-0.17418,1.67,-0.72139,2.62
3.01,0.03272,0.95,0.5083,0.95,0.0879,0.95
3.02,-0.13961,1.91,-0.02071,0.95,-0.36846,2.15
3.03,0.1611,1.91,0.36646,0.72,-0.23192,0.95
3.04,0.2374,1.91,0.22048,1.67,0.08494,0.95
3.05,0.4539,0.95,0.15809,0.95,0.51656,1.91
3.06,-0.51512,1.67,-0.69703,0.95,0.12156,3.1
3.07,-0.0106,2.86,-0.16174,2.15,-0.02546,0.95
3.08,-0.17561,2.15,-0.2641,1.91,0.13181,1.19
3.09,0.0865,0.95,-0.15156,0.72,0.43639,0.72
3.1,0.08417,0.95,-0.22283,0.95,0.03408,2.15
3.11,0.50299,1.91,-0.02534,0.95,-0.4703,0.95
3.12,0.29279,0.95,0.25047,0.95,0.00697,0.95
3.13,0.21963,1.19,0.67127,2.15,0.44204,1.19
3.14,-0.20813,1.19,0.78611,0.72,-0.17054,1.19
3.15,-0.23779,1.19,0.17772,0.95,-0.24088,0.95
3.16,-0.16286,3.1,-0.04164,0.95,-0.35906,1.91
3.17,-0.37585,1.19,-0.48115,2.15,0.57786,0.95
3.18,-0.65542,2.15,0.21323,0.95,0.63354,0.95
3.19,-0.06239,2.15,-0.16672,2.15,-0.24097,1.19
3.2,0.40812,0.95,0.06611,0.95,0.52071,2.86
3.21,-0.50215,1.19,-0.6125,0.95,0.17788,0.95
3.22,0.09034,1.67,-0.53145,1.19,-0.13421,0.95
3.23,-0.00345,2.62,-0.46105,2.15,-0.50232,0.95
3.24,0.10447,3.1,0.39129,1.91,-0.55631,4.05
3.25,-0.03051,5.96,-0.37099,1.19,0.17354,0.95
3.26,0.00022,3.1,-0.34096,1.91,-0.14971,0.95
3.27,-0.08109,2.86,-0.03158,2.15,-0.38336,2.15
3.28,0.59101,3.1,0.4207,1.19,0.21415,0.95
3.29,-0.31122,1.91,0.6342,1.19,0.01173,0.95
3.3,0.16285,2.15,0.23195,0.95,0.11694,0.95
3.31,-0.19364,1.91,0.27251,2.15,-0.43418,2.15
3.32,-0.1811,2.15,0.08609,1.19,-0.57801,1.19
3.33,0.09842,1.91,0.65346,2.15,-0.35368,0.72
3.34,-0.37863,2.15,-0.26602,2.15,-0.19193,0.95
3.35,0.19154,1.91,0.67178,0.95,0.42434,0.95
3.36,-0.09553,0.95,-0.50625,1.91,-0.26367,1.91
3.37,0.1981,0.95,0.31074,0.95,-0.18549,1.91
3.38,0.11089,0.95,-0.17421,1.19,-0.17099,0.72
3.39,-0.15256,1.91,0.27851,0.95,-0.12566,0.95
3.4,-0.3642,1.19,0.0741,1.19,0.51842,1.67
3.41,0.124,1.91,-0.564,1.19,-0.00481,0.95
3.42,0.42842,0.95,-0.11876,2.15,0.12185,2.15
3.43,-0.65871,1.67,-0.40301,0.95,-0.13513,1.19
3.44,-0.33521,1.91,-0.58912,0.95,-0.71234,2.15
3.45,-0.27343,2.15,0.62257,1.91,-0.14742,1.19
3.46,0.15016,2.15,-0.35584,0.72,-0.46448,6.91
3.47,-0.20061,0.95,0.2793,1.19,0.37108,14.07
3.48,0.46414,1.91,-0.53842,0.72,-0.51495,6.2
3.49,-0.38775,2.62,-0.17749,0.95,-0.33094,3.1
3.5,0.56614,0.95,0.1284,0.95,0.74058,3.1
3.51,0.79135,1.91,-0.22941,0.95,0.33018,2.15
3.52,-0.22588,2.15,-0.15927,1.19,0.29013,1.91
3.53,0.68429,1.91,-0.00134,0.95,-0.08388,5.96
3.54,0.33462,1.91,0.12073,1.91,-0.70209,0.95
3.55,-0.55482,2.15,-0.02122,1.67,-0.12687,0.95
3.56,-0.07908,5.96,0.58164,1.91,-0.11496,1.19
3.57,-0.14417,5.96,0.32153,1.91,-0.54216,2.15
3.58,0.23964,5.25,-0.18696,1.91,-0.09499,2.15
3.59,-0.02074,3.1,-0.3265,0.95,-0.02951,0.95
3.6,-0.15743,3.1,0.19297,1.19,0.44606,0.95
3.61,-0.16653,5.01,-0.24535,1.19,-0.10006,1.19
3.62,0.09656,4.05,-0.10143,0.95,0.64916,0.95
3.63,-0.21667,2.15,0.00587,0.95,0.09189,0.95
3.64,-0.54881,2.15,-0.3134,0.95,0.26178,2.15
3.65,-0.31465,1.91,-0.12076,1.19,0.66599,1.91
3.66,-0.43528,0.95,0.12696,1.91,0.41613,1.91
3.67,-0.02379,0.95,-0.12566,0.72,-0.15652,0.95
3.68,0.2542,2.15,-0.51021,1.91,-0.59603,1.19
3.69,-0.06499,2.15,0.13191,0.95,-0.19353,2.15
